Value,Unit
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0.7,Mbits/sec
1.11,Mbits/sec
0.41,Mbits/sec
0.66,Mbits/sec
0.67,Mbits/sec
0.61,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0.64,Mbits/sec
0.16,Mbits/sec
0.26,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0.2,Mbits/sec
0.14,Mbits/sec
0.25,Mbits/sec
0.19,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0.53,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0.64,Mbits/sec
0.75,Mbits/sec
0.19,Mbits/sec
1.08,Mbits/sec
0.96,Mbits/sec
0.66,Mbits/sec
0,Mbits/sec
1.09,Mbits/sec
0.4,Mbits/sec
1.21,Mbits/sec
1.52,Mbits/sec
1.96,Mbits/sec
2.35,Mbits/sec
0.62,Mbits/sec
1.6,Mbits/sec
1.24,Mbits/sec
1.32,Mbits/sec
0.76,Mbits/sec
0.65,Mbits/sec
0.96,Mbits/sec
1.24,Mbits/sec
0.15,Mbits/sec
0.44,Mbits/sec
1.07,Mbits/sec
1.72,Mbits/sec
0.5,Mbits/sec
1.46,Mbits/sec
1.8,Mbits/sec
1.84,Mbits/sec
0.53,Mbits/sec
0.16,Mbits/sec
0.79,Mbits/sec
0.5,Mbits/sec
0.83,Mbits/sec
0.81,Mbits/sec
0,Mbits/sec
0.96,Mbits/sec
0,Mbits/sec
0.88,Mbits/sec
0.9,Mbits/sec
0.25,Mbits/sec
0.79,Mbits/sec
1.33,Mbits/sec
1.02,Mbits/sec
0.27,Mbits/sec
1.26,Mbits/sec
1.36,Mbits/sec
0.65,Mbits/sec
0.83,Mbits/sec
0.51,Mbits/sec
0.8,Mbits/sec
0.65,Mbits/sec
0.15,Mbits/sec
1.01,Mbits/sec
0.39,Mbits/sec
1.12,Mbits/sec
0.89,Mbits/sec
1.01,Mbits/sec
0.29,Mbits/sec
0.92,Mbits/sec
0.33,Mbits/sec
0,Mbits/sec
0.81,Mbits/sec
0.35,Mbits/sec
0,Mbits/sec
1.14,Mbits/sec
0.64,Mbits/sec
0.62,Mbits/sec
0.58,Mbits/sec
0.87,Mbits/sec
1.02,Mbits/sec
0,Mbits/sec
0.81,Mbits/sec
0.83,Mbits/sec
0,Mbits/sec
0.98,Mbits/sec
0.98,Mbits/sec
1.66,Mbits/sec
0,Mbits/sec
0,Mbits/sec
1.45,Mbits/sec
0.27,Mbits/sec
0.79,Mbits/sec
0.14,Mbits/sec
1.38,Mbits/sec
2.12,Mbits/sec
1.07,Mbits/sec
0.79,Mbits/sec
0.82,Mbits/sec
2.24,Mbits/sec
0.01,Mbits/sec
1.33,Mbits/sec
1.26,Mbits/sec
0.83,Mbits/sec
0.92,Mbits/sec
1.33,Mbits/sec
0.49,Mbits/sec
0.97,Mbits/sec
0.38,Mbits/sec
2.04,Mbits/sec
0.62,Mbits/sec
2.17,Mbits/sec
2.31,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
2.27,Mbits/sec
0.44,Mbits/sec
0.26,Mbits/sec
1.41,Mbits/sec
0.83,Mbits/sec
1.13,Mbits/sec
0.77,Mbits/sec
0.37,Mbits/sec
1.15,Mbits/sec
0.69,Mbits/sec
0.83,Mbits/sec
0.76,Mbits/sec
0.16,Mbits/sec
0.94,Mbits/sec
0.3,Mbits/sec
1.17,Mbits/sec
0.68,Mbits/sec
1.05,Mbits/sec
1.18,Mbits/sec
1.02,Mbits/sec
0.92,Mbits/sec
0.33,Mbits/sec
0.98,Mbits/sec
0.83,Mbits/sec
0.26,Mbits/sec
0.45,Mbits/sec
0.85,Mbits/sec
0.98,Mbits/sec
0.71,Mbits/sec
0.44,Mbits/sec
1.12,Mbits/sec
1.39,Mbits/sec
0.72,Mbits/sec
0.35,Mbits/sec
0.97,Mbits/sec
0.9,Mbits/sec
0.88,Mbits/sec
1.53,Mbits/sec
0.36,Mbits/sec
0.61,Mbits/sec
2.16,Mbits/sec
1.58,Mbits/sec
0.81,Mbits/sec
1.07,Mbits/sec
2.16,Mbits/sec
2.31,Mbits/sec
1.39,Mbits/sec
2.07,Mbits/sec
2.17,Mbits/sec
1.35,Mbits/sec
4.27,Mbits/sec
6.58,Mbits/sec
3.78,Mbits/sec
5.55,Mbits/sec
2.9,Mbits/sec
3.27,Mbits/sec
3.13,Mbits/sec
2.19,Mbits/sec
1.74,Mbits/sec
3.22,Mbits/sec
2.9,Mbits/sec
1.33,Mbits/sec
1.75,Mbits/sec
2.07,Mbits/sec
1.29,Mbits/sec
2.19,Mbits/sec
2.29,Mbits/sec
2,Mbits/sec
2.21,Mbits/sec
0.74,Mbits/sec
2.44,Mbits/sec
1.99,Mbits/sec
2.58,Mbits/sec
0.99,Mbits/sec
1.81,Mbits/sec
1.91,Mbits/sec
1.9,Mbits/sec
1.56,Mbits/sec
0.34,Mbits/sec
0.6,Mbits/sec
1.01,Mbits/sec
0.75,Mbits/sec
0.36,Mbits/sec
0,Mbits/sec
0.62,Mbits/sec
1.6,Mbits/sec
0.08,Mbits/sec
1.19,Mbits/sec
0,Mbits/sec
0.71,Mbits/sec
0.69,Mbits/sec
0.74,Mbits/sec
0.82,Mbits/sec
0.32,Mbits/sec
0.97,Mbits/sec
1.04,Mbits/sec
0.46,Mbits/sec
1.42,Mbits/sec
0.31,Mbits/sec
0,Mbits/sec
0,Mbits/sec
1.73,Mbits/sec
0.4,Mbits/sec
1.02,Mbits/sec
2.17,Mbits/sec
0.26,Mbits/sec
1.5,Mbits/sec
2.45,Mbits/sec
1.48,Mbits/sec
1.71,Mbits/sec
0.87,Mbits/sec
0.56,Mbits/sec
1,Mbits/sec
0.74,Mbits/sec
1.7,Mbits/sec
1.46,Mbits/sec
1.82,Mbits/sec
1.11,Mbits/sec
1.04,Mbits/sec
0.96,Mbits/sec
1.69,Mbits/sec
1.4,Mbits/sec
1.27,Mbits/sec
0.69,Mbits/sec
0.64,Mbits/sec
0.68,Mbits/sec
0.23,Mbits/sec
0.96,Mbits/sec
0.29,Mbits/sec
0.67,Mbits/sec
0.56,Mbits/sec
0.79,Mbits/sec
0.93,Mbits/sec
1.43,Mbits/sec
0.62,Mbits/sec
0.62,Mbits/sec
0.98,Mbits/sec
1.29,Mbits/sec
2,Mbits/sec
1.37,Mbits/sec
0.69,Mbits/sec
1.38,Mbits/sec
0.25,Mbits/sec
0.31,Mbits/sec
0.46,Mbits/sec
0.44,Mbits/sec
0.46,Mbits/sec
0.35,Mbits/sec
0.19,Mbits/sec
0.48,Mbits/sec
0.8,Mbits/sec
1.05,Mbits/sec
1.29,Mbits/sec
1.67,Mbits/sec
2.02,Mbits/sec
1.28,Mbits/sec
3.55,Mbits/sec
5.54,Mbits/sec
5.78,Mbits/sec
4.07,Mbits/sec
3.59,Mbits/sec
6.6,Mbits/sec
4.77,Mbits/sec
2.59,Mbits/sec
3.97,Mbits/sec
3.17,Mbits/sec
2.43,Mbits/sec
2.27,Mbits/sec
0.11,Mbits/sec
2.17,Mbits/sec
1.01,Mbits/sec
0.19,Mbits/sec
2.08,Mbits/sec
2.15,Mbits/sec
1.56,Mbits/sec
1.1,Mbits/sec
1.48,Mbits/sec
1.29,Mbits/sec
1.32,Mbits/sec
2.09,Mbits/sec
1.3,Mbits/sec
0.69,Mbits/sec
0.57,Mbits/sec
0.57,Mbits/sec
0.59,Mbits/sec
0.69,Mbits/sec
0.58,Mbits/sec
0.77,Mbits/sec
0.04,Mbits/sec
0.98,Mbits/sec
0.78,Mbits/sec
0.39,Mbits/sec
1.18,Mbits/sec
0.58,Mbits/sec
0.65,Mbits/sec
0.84,Mbits/sec
0.25,Mbits/sec
1.05,Mbits/sec
1.31,Mbits/sec
0.47,Mbits/sec
0.75,Mbits/sec
0,Mbits/sec
0,Mbits/sec
1.04,Mbits/sec
0.79,Mbits/sec
1.53,Mbits/sec
1.78,Mbits/sec
2.08,Mbits/sec
2.33,Mbits/sec
2.72,Mbits/sec
3.57,Mbits/sec
3.52,Mbits/sec
3.26,Mbits/sec
3.7,Mbits/sec
3.75,Mbits/sec
3.73,Mbits/sec
2.57,Mbits/sec
3.46,Mbits/sec
0.76,Mbits/sec
2.19,Mbits/sec
3,Mbits/sec
1.22,Mbits/sec
1.59,Mbits/sec
0.6,Mbits/sec
1.38,Mbits/sec
0.5,Mbits/sec
0.9,Mbits/sec
