Value,Unit
2.04,Mbits/sec
1.52,Mbits/sec
1.93,Mbits/sec
2.03,Mbits/sec
2.21,Mbits/sec
1.45,Mbits/sec
2.78,Mbits/sec
2.47,Mbits/sec
2.42,Mbits/sec
1.46,Mbits/sec
1.83,Mbits/sec
2.5,Mbits/sec
1,Mbits/sec
2.27,Mbits/sec
2.97,Mbits/sec
1.39,Mbits/sec
0.92,Mbits/sec
2.36,Mbits/sec
2.12,Mbits/sec
0,Mbits/sec
1.28,Mbits/sec
5.07,Mbits/sec
1.73,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
4.13,Mbits/sec
0.97,Mbits/sec
1.93,Mbits/sec
2.02,Mbits/sec
2.95,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0.6,Mbits/sec
3.32,Mbits/sec
2.63,Mbits/sec
2.52,Mbits/sec
3.16,Mbits/sec
2.07,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0.56,Mbits/sec
5.13,Mbits/sec
9.29,Mbits/sec
5.69,Mbits/sec
5.74,Mbits/sec
9.14,Mbits/sec
9.68,Mbits/sec
9.47,Mbits/sec
10.5,Mbits/sec
9.57,Mbits/sec
10.6,Mbits/sec
8.7,Mbits/sec
9.95,Mbits/sec
12.3,Mbits/sec
9.28,Mbits/sec
12.9,Mbits/sec
10.4,Mbits/sec
11.7,Mbits/sec
10.8,Mbits/sec
10.9,Mbits/sec
7.85,Mbits/sec
7.36,Mbits/sec
6.86,Mbits/sec
5.86,Mbits/sec
6.5,Mbits/sec
5.07,Mbits/sec
3.12,Mbits/sec
2.24,Mbits/sec
3.21,Mbits/sec
2.43,Mbits/sec
1.67,Mbits/sec
0.35,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
1.22,Mbits/sec
1.64,Mbits/sec
1.14,Mbits/sec
2.59,Mbits/sec
1.91,Mbits/sec
0.78,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0.03,Mbits/sec
2.97,Mbits/sec
3.31,Mbits/sec
2.35,Mbits/sec
3.77,Mbits/sec
3.9,Mbits/sec
4.66,Mbits/sec
0,Mbits/sec
0,Mbits/sec
1.03,Mbits/sec
1.57,Mbits/sec
2.4,Mbits/sec
0.93,Mbits/sec
1.08,Mbits/sec
1.73,Mbits/sec
0.01,Mbits/sec
0,Mbits/sec
0.09,Mbits/sec
0,Mbits/sec
1.25,Mbits/sec
0.22,Mbits/sec
0.05,Mbits/sec
0,Mbits/sec
0.03,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0.14,Mbits/sec
0,Mbits/sec
0.22,Mbits/sec
0.03,Mbits/sec
0.14,Mbits/sec
0.11,Mbits/sec
0.24,Mbits/sec
0.1,Mbits/sec
0.32,Mbits/sec
0.11,Mbits/sec
0.22,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
2.4,Mbits/sec
1.33,Mbits/sec
2.12,Mbits/sec
1.02,Mbits/sec
3.31,Mbits/sec
1.85,Mbits/sec
3.02,Mbits/sec
1.78,Mbits/sec
1.28,Mbits/sec
1,Mbits/sec
0.6,Mbits/sec
2.41,Mbits/sec
1.84,Mbits/sec
1.52,Mbits/sec
1.06,Mbits/sec
1.25,Mbits/sec
1.48,Mbits/sec
1.23,Mbits/sec
1.66,Mbits/sec
1.72,Mbits/sec
1.38,Mbits/sec
0.22,Mbits/sec
1.78,Mbits/sec
1.79,Mbits/sec
1.68,Mbits/sec
0.64,Mbits/sec
1.23,Mbits/sec
1.15,Mbits/sec
0.3,Mbits/sec
1.41,Mbits/sec
1.26,Mbits/sec
0.84,Mbits/sec
1.04,Mbits/sec
1.15,Mbits/sec
2.74,Mbits/sec
2.48,Mbits/sec
2.55,Mbits/sec
2.1,Mbits/sec
1.77,Mbits/sec
2.43,Mbits/sec
1.28,Mbits/sec
3,Mbits/sec
3.99,Mbits/sec
3.73,Mbits/sec
2.45,Mbits/sec
6.01,Mbits/sec
3.15,Mbits/sec
3.2,Mbits/sec
2.11,Mbits/sec
2.66,Mbits/sec
2.38,Mbits/sec
1.89,Mbits/sec
2.72,Mbits/sec
2.18,Mbits/sec
2.2,Mbits/sec
2.04,Mbits/sec
2.06,Mbits/sec
1.66,Mbits/sec
1.88,Mbits/sec
1.49,Mbits/sec
1.52,Mbits/sec
0,Mbits/sec
0.98,Mbits/sec
1.59,Mbits/sec
0.47,Mbits/sec
0.4,Mbits/sec
1.27,Mbits/sec
0,Mbits/sec
1.24,Mbits/sec
0.96,Mbits/sec
0.6,Mbits/sec
1.66,Mbits/sec
1.69,Mbits/sec
2,Mbits/sec
2.17,Mbits/sec
2.44,Mbits/sec
2.95,Mbits/sec
4.55,Mbits/sec
5.33,Mbits/sec
4.99,Mbits/sec
2.84,Mbits/sec
8.2,Mbits/sec
8.53,Mbits/sec
5.04,Mbits/sec
2.58,Mbits/sec
7.37,Mbits/sec
8.19,Mbits/sec
1.87,Mbits/sec
3.61,Mbits/sec
7.67,Mbits/sec
6.76,Mbits/sec
3.95,Mbits/sec
0.94,Mbits/sec
1.37,Mbits/sec
2.42,Mbits/sec
1.92,Mbits/sec
1.8,Mbits/sec
0.81,Mbits/sec
1.96,Mbits/sec
0.7,Mbits/sec
2.46,Mbits/sec
0,Mbits/sec
2.34,Mbits/sec
0.94,Mbits/sec
1.31,Mbits/sec
0.6,Mbits/sec
0,Mbits/sec
1.46,Mbits/sec
0.44,Mbits/sec
2.16,Mbits/sec
0.66,Mbits/sec
0.65,Mbits/sec
1.35,Mbits/sec
1.67,Mbits/sec
1.46,Mbits/sec
0.52,Mbits/sec
2.01,Mbits/sec
0.8,Mbits/sec
1.34,Mbits/sec
2.38,Mbits/sec
2.73,Mbits/sec
0.75,Mbits/sec
0.35,Mbits/sec
2.2,Mbits/sec
1.65,Mbits/sec
0.25,Mbits/sec
0.77,Mbits/sec
1.15,Mbits/sec
1.25,Mbits/sec
1.44,Mbits/sec
1.25,Mbits/sec
1,Mbits/sec
1.27,Mbits/sec
0.83,Mbits/sec
1.04,Mbits/sec
1.63,Mbits/sec
1.5,Mbits/sec
2.04,Mbits/sec
1.14,Mbits/sec
0.95,Mbits/sec
0.6,Mbits/sec
3.04,Mbits/sec
1.56,Mbits/sec
2.03,Mbits/sec
0,Mbits/sec
3.32,Mbits/sec
0,Mbits/sec
2.19,Mbits/sec
0.95,Mbits/sec
1.21,Mbits/sec
0.92,Mbits/sec
0,Mbits/sec
0,Mbits/sec
4.93,Mbits/sec
0,Mbits/sec
2.49,Mbits/sec
1.31,Mbits/sec
1.13,Mbits/sec
0.75,Mbits/sec
1.12,Mbits/sec
0.6,Mbits/sec
0.9,Mbits/sec
0.92,Mbits/sec
1,Mbits/sec
0.56,Mbits/sec
0.98,Mbits/sec
0.56,Mbits/sec
4.01,Mbits/sec
4.14,Mbits/sec
2.7,Mbits/sec
3.32,Mbits/sec
5.03,Mbits/sec
5.52,Mbits/sec
4.49,Mbits/sec
3.43,Mbits/sec
3.71,Mbits/sec
1.77,Mbits/sec
3.02,Mbits/sec
2.3,Mbits/sec
2.04,Mbits/sec
1.24,Mbits/sec
1.24,Mbits/sec
2.64,Mbits/sec
2.64,Mbits/sec
2.56,Mbits/sec
2.51,Mbits/sec
3.41,Mbits/sec
4.04,Mbits/sec
4.72,Mbits/sec
5.71,Mbits/sec
5.47,Mbits/sec
5.73,Mbits/sec
5.37,Mbits/sec
1.46,Mbits/sec
6.25,Mbits/sec
6.61,Mbits/sec
6.28,Mbits/sec
6.58,Mbits/sec
5.02,Mbits/sec
3.5,Mbits/sec
3.48,Mbits/sec
5.69,Mbits/sec
7.59,Mbits/sec
3.32,Mbits/sec
3.95,Mbits/sec
4.65,Mbits/sec
2.02,Mbits/sec
7.55,Mbits/sec
2.25,Mbits/sec
3.69,Mbits/sec
3.4,Mbits/sec
0,Mbits/sec
3.84,Mbits/sec
1.58,Mbits/sec
1.52,Mbits/sec
0.78,Mbits/sec
1.62,Mbits/sec
1.38,Mbits/sec
0.62,Mbits/sec
